username,text
57terryv,dread place stay beyond belief charg exorbit rate inferior accommod arriv late exhaust journey need sleep hope dirti room want walk round without shoe could bring sit sofa curtain hang track bare
580phillipp,good place over except carpet room come loo bubbl great locat nice indoor pool big room wifi extrem slow hike trail nice playground need lot work bed comfort
582rambler,upon arriv best western properti staff member 100 effort make stay comfort great tip local dine spot turn best food trip great access interst get road quick also great breakfast start day
594cynthiap,usual stay hilton product read articl druri intrigu decid expand horizon wow glad reserv clerk housekeep staff everyon friendli alway smile eager offer assist somber trip lost grandmoth
5SharynC,great locat hotel great resort wise right beauti beach ground hotel beauti kept room tire look clean outdat could make 15 taxi ride middl ocean drive south beach
5WorldTraveler5,realli enjoy stay love locat close everyth yet apart enough room beach water food servic duke excel servic recept bellhop desk good great requir interact
601jim,great peopl great room better motel stay cant go wrong motel flat screen tv microwav ice box new carpet room coff cozi home fell plenti light room
603taylak,great stay hotel friendli staff beauti locat block back main street shop would highli recommend anyon travel waikiki would say friendli staff made stay enjoy
607keithj,book hotel rate competit like option complimentari breakfast use onlin checkin first time key readi wait arriv straight room would expect hampton inn complaint gym plenti space
611christiea,sold hou couldnt move new hou sever week spent week hotel staff accommod marilynn serv free breakfast nice welcom housekeep great job well
617glendac,staff friendli breakfast great especi coff modern date reason didnt give 5 star request non smoke room unfortun room smell like cigarett smoke spray room improv slightli
6206smile,place hotel may top line hotel neither cost nice clean comfort hotel price afford bed comfort full size fridg could store item room spare look afford hotel comfort night
624wallaced,stay one night hotel seem older hotel remodel room larg clean door room outsid central hall best western serv complimentari breakfast food standard good chain hotel 1 block i20
627bobs627,nice menu american cuisin steak pasta salad chicken rueben sweet potato fri good onion ring littl greasi chile good nice crowd famili recommend probabl stop
631ruthd,staff delight help special mention front desk checkin struggl staff quit peopl arriv time fortun us relat attend event frustrat anxiou one person front desk unfortun
632clintonp,carpet dirti upon enter shower foot print would rin tub laundri room directli room would shake entir room maid laundri
633rachel,room lot charact enjoy speak easi room lot bed comfort bathroom nice room bit smaller anticip wall pretti thin heard trash man outsid everi morn even noi maker breakfast good simpl found
63impala,holiday inn express perfect locat need recent montana trip staff friendli took care need breakfast standard holiday inn express breakfast alway give good start day room clean tidi would
650tanyad,across read termin close convent center park next door new room well decor spaciou larg bathroom didnt eat breakfast howev look great mani optionsdear 650tanyadi would like thank choo home2 suit hilton philadelphia recent stay appreci nice comment glad enjoy stay us mani choic center citi philadelphia greatli appreci busi look forward welcom back soon thenwith hospitalityjason bloom gener managerhome2 suit hiltonyour second home away home
652jeniferw,stop st ignac stay night way north left jacuzzi room quit nice heart shape way set could sit comfort next watch televi bed comfort
659gregt,good check staff help everyday took card could call next summer stay enjoy stay
670sandra,visit bricktown wonder time arriv hotel throughout visit everyon extraordinarili welcom realli made us feel glad locat hotel perfect experi excit riverwalk definit place visit
6720Mary,place absolut dump middl renov tri put room renov yet everyth everyplac look place filthi motel 6 would even better place stay place
705francesk,nice decor retro fashion love steamer versu tradit ironveri friendli accommod staffalthough locat within walk distanc french quarter would recommend walk late night found bit turnaround walk back french quarter stop emerg depart tulan hospit direct advi us safe walk area call us cab despit fare short block thank take minut share experi comment guest import get feel properti locat sorri hear got turn around sure let concierg assist map next visitwaynegen manag
707jas,employ friendli help room clean comfort resort locat great spot right lake delton love sit sandi beach morn drink cup coff
